Marca temporal,Genero,Origen,Edad,¿Eres económicamente independiente? ,Clima,Cantidad_plantas,Parte_predominante_casa,Conocimiento_sobre_plantas,Plantas_recomendadas,Mascotas_infantes,Adquisicion_plantas,Atencion_plantas,Respuesta_planta_mustia,Prefiere_florecer,Preferencia_tonos,Tiempo_para_ti,Paciencia,Sentimientos_adquisicion,Duracion_plantas,Tipo_vivienda
2024/05/04 6:42:47 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Me he informado bastante,Helecho de Boston;Costilla de Adán;Begonia rex;Tradescantia;Pilea;Cactus de Navidad;Palo de Brasil;Violeta africana;Ficus lyrata;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Haworthia;Aeonium;Echeveria;Hiedra inglesa;Petunia;Begonia;Yo recomendaría si hay el espacio suficiente un árbol frutal como el limonero o mandarina( en mi caso tengo los dos ),"Sí, tiran de las hojas y las tiran (o lo intentan)","Decoración;Mejorar la calidad del aire;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Chalet
2024/05/04 6:44:37 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Peperomia;Sedum;Echeveria;Lavanda;Geranio;Petunia,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 6:44:49 p. m. EEST,Hombre,LATAM,18 – 25,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",2-5,Interior,Tengo nociones básicas,Filodendro;Violeta africana;Pothos;Ficus lyrata;Haworthia,No,Perfumar el entorno,Les hago bastante caso,Le echo agua,Si,Fríos,No tengo tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 6:45:48 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Peperomia;Pothos;Crasula/ Suculenta de Jade;Nephthytis,No,Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 7:01:56 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Pilea;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Haworthia;Echeveria,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 7:18:00 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Me dedico a la botánica,Cinta;Peperomia;Orquídea phalaenopsis;Cactus de jade;Aloe vera;Palmera de bambú,No,Decoración;Mejorar la calidad del aire;La planté de cero,Todos los días compruebo su estado,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 7:18:41 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Ambos por igual,Nada,Orquídea phalaenopsis;Aloe vera;Nephthytis,No,Decoración,Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 7:23:03 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Exterior,Tengo nociones básicas,Begonia rex;Tradescantia;Violeta africana;Ficus benjamina;Cactus de bola;Sedum;Echeveria;Lavanda;Salvia;Astilbe;Geranio;Petunia;Fucsia,"Sí, pueden clavárselas",Decoración,Les hago bastante caso,Le echo agua,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 7:23:06 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Interior,Tengo nociones básicas,Violeta africana;Sedum;Lavanda;Astilbe,"Sí, intentan comérselas",Decoración;Perfumar el entorno,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo bastante tiempo libre,No,Indiferencia,Meses,Apartamento
2024/05/04 7:31:43 p. m. EEST,Hombre,España,26 – 30,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Interior,Tengo nociones básicas,Cinta;Begonia rex;Aloe vera;Cactus de bola,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Realización,Meses,Apartamento
2024/05/04 7:34:39 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Exterior,Tengo nociones básicas,Costilla de Adán;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Crasula/ Suculenta de Jade;Haworthia;Echeveria;Philodendron,No,Decoración;Mejorar la calidad del aire,Cuando me acuerdo,Le echo agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 7:42:15 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Ambos por igual,Nada,Cinta;Helecho de Boston;Costilla de Adán;Peperomia;Pothos;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Ficus benjamina;Aloe vera;Echeveria;Agave;Planta de araña;Nephthytis;Dieffenbachia,"Sí, son tóxicas","Decoración;Mejorar la calidad del aire;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;La planté de cero",Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo mucho tiempo libre,No,Indiferencia,Meses,Chalet
2024/05/04 7:43:52 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Ambos por igual,Tengo nociones básicas,Philodendron;Dieffenbachia,No,Decoración;Mejorar la calidad del aire;Fue un regalo;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 7:51:34 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Exterior,Soy un/a experto/a,Pothos;Aloe vera;Lavanda;Geranio,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 7:57:02 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Exterior,Tengo nociones básicas,Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Aeonium;Echeveria;Philodendron;Geranio;Begonia;Caléndula,"Sí, intentan comérselas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca);La planté de cero;Me la recomendaron",Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,No tengo tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 8:03:03 p. m. EEST,Hombre,España,18 – 25,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",0,Ambos por igual,Nada,Helecho de Boston;Orquídea phalaenopsis;Haworthia;Lavanda;Astilbe;Geranio,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Semanas,Apartamento
2024/05/04 8:07:14 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"Arido diria yo, mendoza Argentina",+10,Ambos por igual,Tengo nociones básicas,Pilea;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Sedum;Aeonium;Lavanda;Astilbe;Geranio;Petunia;Fucsia;Begonia;Caléndula,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire;Perfumar el entorno;Fue un regalo;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Años,Chalet
2024/05/04 8:11:06 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Filodendro;Begonia rex;Palo de Brasil;Orquídea phalaenopsis;Palmera de bambú;Begonia,No,Decoración;Mejorar la calidad del aire,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 8:20:13 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Nada,Tradescantia;Pilea;Palo de Brasil;Orquídea phalaenopsis,"Sí, intentan comérselas",Decoración,La verdad que no,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,No,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 8:22:29 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Exterior,Me dedico a la botánica,Filodendro;Palo de Brasil;Ficus benjamina;Cactus de bola;Lavanda,No,Decoración,Cuando me acuerdo,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,No,Alegría,Años,Apartamento
2024/05/04 8:24:14 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Exterior,Tengo nociones básicas,Filodendro;Costilla de Adán,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Les hago bastante caso,Me deshago de ella,"No, prefiero que no tengan flores",Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 8:26:38 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Tengo nociones básicas,Helecho de Boston;Pilea,No,Decoración;Mejorar la calidad del aire;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 8:31:26 p. m. EEST,Prefiero no decirlo,LATAM,18 – 25,Sí,Tropical ,2-5,Interior,Nada,Begonia rex;Tradescantia;Violeta africana;Sedum;Aeonium;Echeveria;Lavanda;Salvia;Geranio;Petunia;Fucsia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Cuando me acuerdo,Le echo agua,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Adosado
2024/05/04 8:34:14 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Exterior,Tengo nociones básicas,Costilla de Adán;Aloe vera;Cactus de bola;Hiedra inglesa;Philodendron;Geranio,No,Decoración;Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 8:38:30 p. m. EEST,Mujer,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Exterior,Nada,Tradescantia;Violeta africana;Orquídea phalaenopsis;Aloe vera;Aeonium;Echeveria;Geranio;Fucsia,"Sí, intentan comérselas",Decoración,La verdad que no,Le echo agua,Si,Me es indiferente,No tengo tiempo libre,No,Indiferencia,Años,Adosado
2024/05/04 8:39:38 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Tengo nociones básicas,Cinta;Filodendro;Costilla de Adán;Violeta africana;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Sedum;Planta de araña;Salvia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Realización,Meses,Apartamento
2024/05/04 8:44:41 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Interior,Tengo nociones básicas,Helecho de Boston;Filodendro;Peperomia;Planta de serpiente/ Espada de San Jorge;Aloe vera;Dieffenbachia;Dracaena marginata,"Sí, intentan comérselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,No tengo tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 8:48:36 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",+10,Exterior,Tengo nociones básicas,Cinta;Espatifilo;Filodendro;Costilla de Adán;Palo de Brasil;Violeta africana;Sedum;Agave,No,Decoración;Fue un regalo,Cuando me acuerdo,Nunca se me ponen mustias,Si,Cálidos,Tengo mucho tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 8:54:31 p. m. EEST,Hombre,España,26 – 30,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Tengo nociones básicas,Aloe vera;Cactus de bola;Lavanda,"Sí, intentan comérselas",Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo mucho tiempo libre,No,Indiferencia,Años,Apartamento
2024/05/04 9:09:33 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",1,Exterior,Tengo nociones básicas,Begonia rex;Tradescantia;Cactus de Navidad;Violeta africana;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Astilbe;Fucsia,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 9:12:22 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",0,Interior,Tengo nociones básicas,Filodendro;Costilla de Adán;Pilea;Cactus de jade;Crasula/ Suculenta de Jade;Cactus de bola;Echeveria,"Sí, son tóxicas",Decoración,La verdad que no,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Años,Apartamento
2024/05/04 9:17:49 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Ambos por igual,Tengo nociones básicas,Espatifilo;Costilla de Adán;Fittonia;Pilea;Palo de Brasil;Violeta africana;Orquídea phalaenopsis;Crasula/ Suculenta de Jade,No,Mejorar la calidad del aire;La planté de cero,Cuando me acuerdo,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 9:33:31 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Interior,Me he informado bastante,Cinta;Helecho de Boston;Filodendro;Costilla de Adán;Begonia rex;Tradescantia;Fittonia;Palo de Brasil;Violeta africana;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Cactus de jade;Echeveria;Planta de araña;Hiedra inglesa;Philodendron;Nephthytis;Dieffenbachia;Dracaena marginata;Croton;Begonia,No,Decoración;Mejorar la calidad del aire,Todos los días compruebo su estado,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo mucho tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 9:33:32 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Tengo nociones básicas,Costilla de Adán;Cactus de Navidad;Orquídea phalaenopsis;Kalanchoe;Fucsia,No,Me la recomendaron,Cuando me acuerdo,Le echo agua,Si,Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 9:33:33 p. m. EEST,Mujer,España,49 – 59,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Cinta;Pothos;Orquídea phalaenopsis;Aloe vera,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 9:34:19 p. m. EEST,Mujer,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Peperomia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 9:37:38 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Filodendro;Peperomia;Pothos;Cactus de jade;Aloe vera;Palmera de bambú;Nephthytis,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Indiferencia,Años,Apartamento
2024/05/04 9:38:11 p. m. EEST,Mujer,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Tengo nociones básicas,Costilla de Adán;Peperomia;Pilea;Ficus lyrata;Orquídea phalaenopsis;Hiedra inglesa;Philodendron;Dracaena marginata;Lavanda,"Sí, son tóxicas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,No,Alegría,Años,Apartamento
2024/05/04 9:38:23 p. m. EEST,Mujer,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Me he informado bastante,Cinta;Costilla de Adán;Crasula/ Suculenta de Jade;Cactus de bola;Sedum;Philodendron;Dieffenbachia;Lavanda;Caléndula,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca);Fue un regalo;La planté de cero",Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 9:38:38 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Costilla de Adán;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia,No,Decoración;Fue un regalo,Cuando me acuerdo,Nunca se me ponen mustias,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 9:38:54 p. m. EEST,Mujer,España,Mayor de 60 años,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Ambos por igual,Nada,Filodendro;Begonia rex;Tradescantia;Cactus de Navidad;Violeta africana;Pothos;Orquídea phalaenopsis;Kalanchoe;Croton;Lavanda;Petunia,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 9:40:30 p. m. EEST,Hombre,España,31 – 48,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Tengo nociones básicas,Cinta;Espatifilo;Peperomia;Tradescantia;Cactus de Navidad;Pothos;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Sedum;Aeonium;Echeveria;Kalanchoe;Agave;Planta de araña;Hiedra inglesa;Philodendron;Palmera de bambú;Croton;Lavanda;Salvia;Hosta;Astilbe;Geranio;Petunia;Fucsia;Begonia;Caléndula,"Sí, pueden clavárselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 9:41:30 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Tengo nociones básicas,Cinta;Espatifilo;Helecho de Boston;Costilla de Adán;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Aloe vera;Planta de araña;Palmera de bambú;Dieffenbachia;Dracaena marginata;Croton,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 9:46:11 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Nada,Helecho de Boston;Peperomia;Pilea,No,Decoración;Fue un regalo;La planté de cero,Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 9:49:36 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Costilla de Adán;Begonia rex;Tradescantia;Pilea;Cactus de Navidad;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Cactus de jade;Aloe vera;Cactus de bola;Aeonium;Echeveria;Nephthytis;Fucsia,"Sí, intentan comérselas",Decoración,Todos los días compruebo su estado,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 9:53:25 p. m. EEST,Hombre,España,49 – 59,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Exterior,Tengo nociones básicas,Pothos;Cactus de bola;Sedum;Nephthytis;Geranio,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,La verdad que no,Me deshago de ella,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 9:54:27 p. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Cinta;Espatifilo;Helecho de Boston;Filodendro;Fittonia;Palo de Brasil;Pothos;Ficus lyrata;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Planta de araña;Palmera de bambú;Nephthytis;Lavanda;Fucsia,No,Decoración,Les hago bastante caso,Le echo agua,Si,Me es indiferente,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 10:05:50 a. m. EEST,Hombre,España,18 – 25,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",2-5,Interior,Tengo nociones básicas,Cinta,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,Cuando me acuerdo,Me deshago de ella,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/05 10:20:26 a. m. EEST,Mujer,España,49 – 59,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Me he informado bastante,Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Cactus de bola;Haworthia;Aeonium;Echeveria;Lavanda;Salvia;Astilbe;Geranio;Petunia,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire;Perfumar el entorno,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/05 10:23:24 a. m. EEST,Mujer,España,Mayor de 60 años,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Tengo nociones básicas,Espatifilo;Helecho de Boston;Filodendro;Cactus de Navidad;Palo de Brasil;Pothos;Planta de serpiente/ Espada de San Jorge;Palmera de bambú;Lavanda;Geranio,No,Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Cálidos,No tengo tiempo libre,Si,Alegría,Años,Apartamento
2024/05/05 10:37:47 a. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Interior,Tengo nociones básicas,Cinta;Filodendro;Costilla de Adán;Cactus de Navidad;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Lavanda,No,Decoración;La planté de cero,Cuando me acuerdo,Le echo agua,Me es indiferente,Cálidos,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/05 10:54:03 a. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Ambos por igual,Me he informado bastante,Helecho de Boston;Filodendro;Begonia rex;Tradescantia;Fittonia;Palo de Brasil;Pothos;Cactus de jade;Aloe vera;Cactus de bola;Echeveria;Agave;Palmera de bambú;Dracaena marginata;Lavanda,"Sí, son tóxicas","Decoración;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Le echo agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/05 10:59:07 a. m. EEST,Hombre,España,Mayor de 60 años,Sí,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",1,Ambos por igual,Me he informado bastante,Begonia rex;Pothos;Salvia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,La verdad que no,Le echo agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
